lat,lng,"region(province,country)"
37.5999938,14.0153557,"Sicily & Sardinia,Italy"
41.5120194,-5.4922548,"Douro,Portugal"
43.8041334,-120.5542012,"Oregon,US"
44.3148443,-85.6023643,"Michigan,US"
42.59809,-5.570031,"Northern Spain,Spain"
48.3181795,7.4416241,"Alsace,France"
49.8935328,8.0850303,"Rheinhessen,Germany"
36.778261,-119.4179324,"California,US"
49.1169679,6.7399173,"Mosel,Germany"
-38.416097,-63.616672,"Other,Argentina"
-32.8896247,-68.8526867,"Mendoza Province,Argentina"
37.4315734,-78.6568942,"Virginia,US"
46.1134349,4.7263863,"Beaujolais,France"
-34.6761419,-71.097317,"Colchagua Valley,Chile"
42.9790964,-89.5144537,"Southern Italy,Italy"
-36,-72,"Maule Valley,Chile"
44.837789,-0.57918,"Bordeaux,France"
-33.8088442,-70.7644236,"Maipo Valley,Chile"
47.7510741,-120.7401385,"Washington,US"
41.87194,12.56738,"Central Italy,Italy"
48.9168895,4.1514325,"Champagne,France"
47.0525047,4.3837215,"Burgundy,France"
-30.0002315,136.2091547,"South Australia,Australia"
39.722226,-5.5119887,"Tejo,Portugal"
-33.9429359,-71.7361783,"Rapel Valley,Chile"
42.5750554,-8.1338558,"Galicia,Spain"
46.227638,2.213749,"France Other,France"
43.7710513,11.2486208,"Tuscany,Italy"
47.1537165,16.2688797,"Burgenland,Austria"
40.7127753,-74.0059728,"New York,US"
-33.6131574,-71.4501843,"Leyda Valley,Chile"
45.0522366,7.5153885,"Piedmont,Italy"
-33.9321045,18.860152,"Stellenbosch,South Africa"
-33.931612,18.870009,"Simonsberg-Stellenbosch,South Africa"
-34.4878561,19.3720717,"Walker Bay,South Africa"
37.4563889,-8.7887142,"Alentejano,Portugal"
40.463667,-3.74922,"Central Spain,Spain"
46.227638,2.213749,"Southwest France,France"
-32.653179,-70.0108675,"Aconcagua Valley,Chile"
-35.6757054,-71.7741083,"Loncomilla Valley,Chile"
-41.57269,173.4216613,"Marlborough,New Zealand"
41.87194,12.56738,"Northeastern Italy,Italy"
-33.3190376,-71.4076318,"Casablanca Valley,Chile"
45.7623333,11.690976,"Veneto,Italy"
-33.2277918,21.8568586,"Western Cape,South Africa"
31.6666667,35.1666667,"Judean Hills,Israel"
40.3133521,-7.8007077,"Alentejo,Portugal"
-33.3306832,18.7125791,"Coastal Region,South Africa"
44.0574025,4.828508,"Rhône Valley,France"
32.795859,35.530973,"Galilee,Israel"
39.399872,-8.224454,"Beira Atlantico,Portugal"
48.1172148,21.4089015,"Tokaj,Hungary"
47.9666667,16.6666667,"Leithaberg,Austria"
36.3931562,25.4615092,"Santorini,Greece"
48.0668175,14.1901128,"Kremstal,Austria"
41.5911589,1.5208624,"Catalonia,Spain"
45.8011607,21.5119138,"Recas,Romania"
-39.1089867,176.7416374,"Hawke's Bay,New Zealand"
-34.9859489,-71.2417746,"Curicó Valley,Chile"
-30.7462002,-71.0022311,"Limarí Valley,Chile"
-34.6761419,-71.097317,"Colchagua Costa,Chile"
43.5912356,3.2583626,"Languedoc-Roussillon,France"
44.0144936,6.2116438,"Provence,France"
-37.4713077,144.7851531,"Victoria,Australia"
49.9999818,7.9837394,"Rheingau,Germany"
48.1172148,21.4089015,"Tokaji,Hungary"
37.1235743,25.238722,"Naoussa,Greece"
32.0956281,-116.572572,"Valle de Guadalupe,Mexico"
-34.4590092,-70.9548219,"Central Valley,Chile"
-35.0567954,-71.2688602,"Lontué Valley,Chile"
41.87194,12.56738,"Italy Other,Italy"
48.3845561,16.5149128,"Weinviertel,Austria"
47.9742804,16.3023806,"Thermenregion,Austria"
48.108077,15.8049558,"Niederösterreich,Austria"
48.299052,16.5640125,"Wagram,Austria"
47.5532402,1.0105289,"Loire Valley,France"
45.4790671,9.8452433,"Lombardy,Italy"
51.253775,-85.323214,"Ontario,Canada"
47.516231,14.550072,"Österreichischer Sekt,Austria"
48.5102792,15.4535824,"Kamptal,Austria"
47.3593442,14.4699827,"Steiermark,Austria"
47.3593442,14.4699827,"Südsteiermark,Austria"
35.240117,24.8092691,"Crete,Greece"
41.1681934,-8.6558277,"Vinho Verde,Portugal"
44.0682019,-114.7420408,"Idaho,US"
-27.6728168,121.6283098,"Western Australia,Australia"
37.8945909,-4.7549218,"Levante,Spain"
-41.2190932,175.4600651,"Martinborough,New Zealand"
-44.9566315,169.3988451,"Central Otago,New Zealand"
38.7222524,-9.1393366,"Lisboa,Portugal"
31.9685988,-99.9018131,"Texas,US"
38.5714934,-8.9001054,"Península de Setúbal,Portugal"
-31.9512689,115.8659972,"Australia Other,Australia"
-41.4545196,145.9706647,"Tasmania,Australia"
48.7668872,12.3761626,"Franken,Germany"
50.4597204,6.9657588,"Ahr,Germany"
49.7470602,7.4749495,"Nahe,Germany"
37.2256055,-95.7162018,
46.7164971,23.1526439,"Dealu Mare,Romania"
41.1579438,-8.6291053,"Port,Portugal"
-33.375584,18.3860652,"Darling,South Africa"
-35.675147,-71.542969,"Chile,Chile"
46.8885229,15.8936247,"Südoststeiermark,Austria"
37.9386365,22.9322383,"Corinth,Greece"
40.3694997,23.287085,"Halkidiki,Greece"
38.963745,35.243322,"Thrace,Turkey"
50.118346,7.3089527,"Pfalz,Germany"
-33.8020653,19.8875431,"Robertson,South Africa"
33.239637,35.653953,"Dan,Israel"
41.87194,12.56738,"Northwestern Italy,Italy"
37.5442706,-4.7277528,"Andalucia,Spain"
-42.0851991,173.261074,"Awatere Valley,New Zealand"
48.3023867,16.409877,"Wiener Gemischter Satz,Austria"
48.3896089,15.4748897,"Wachau,Austria"
41.2033216,-77.1945247,"Pennsylvania,US"
-33.3306832,18.7125791,"Swartland,South Africa"
40.5199828,-7.9594979,"Dão,Portugal"
48.4333333,15.8,"Wagram-Donauland,Austria"
-35.2808267,-71.2599507,"Rio Claro,Chile"
45.8700399,18.453201,"Villány,Hungary"
-34.1718313,-70.6216794,"Cachapoal Valley,Chile"
46.2226645,24.1098947,"Jidvei,Romania"
37.09024,-95.712891,"America,US"
48.1270972,15.672287,"Traisental,Austria"
40.7492341,-73.6416811,"Bairrada,Portugal"
30.7140861,34.8757476,"Negev Hills,Israel"
38.9022048,-9.0397427,"Ribatejano,Portugal"
39.399872,-8.224454,"Duriense,Portugal"
40.0583238,-74.4056612,"New Jersey,US"
39.4486999,-7.3703481,"Beiras,Portugal"
33.1639839,35.6314191,"Upper Galilee,Israel"
41.162261,-8.659678,"Vinho Espumante,Portugal"
40.4289764,22.9304174,"Epanomi,Greece"
37.82133,22.660998,"Nemea,Greece"
37.5079472,22.37349,"Peloponnese,Greece"
-35.675147,-71.542969,"Aconcagua Costa,Chile"
49.512197,17.1597172,"Moravia,Czech Republic"
46.151241,14.995463,"Slovenia,Slovenia"
39.399872,-8.224454,"Terras do Dão,Portugal"
40.277859,-7.508983,"Beira Interior,Portugal"
45.9081087,27.0905428,"Panciu,Romania"
-36.9777206,-72.331113,"Bío Bío Valley,Chile"
45.943161,24.96676,"Romania,Romania"
41.159168,-8.637033,"Portuguese Table Wine,Portugal"
42.5696378,-8.1160242,"Minho,Portugal"
37.9642529,-91.8318334,"Missouri,US"
34.5199402,-105.8700901,"New Mexico,US"
38.8026097,-116.419389,"Nevada,US"
38.9007616,-9.1181917,"Bucelas,Portugal"
-34.3963392,-71.1700793,"Peumo,Chile"
-33.5922807,-71.6055123,"San Antonio,Chile"
48.113326,16.861693,"Carnuntum,Austria"
39.4937392,-6.0679194,"Estremadura,Portugal"
-43.7542275,171.1637245,"Canterbury,New Zealand"
40.4272595,-3.6812251,"Spain Other,Spain"
41.149001,24.1470796,"Drama,Greece"
31.6878332,34.9788865,"Ella Valley,Israel"
49.5317464,6.354141,"Moselle Luxembourgeoise,Luxembourg"
48.6616037,9.3501336,"Württemberg,Germany"
48.6616037,9.3501336,"Baden,Germany"
40.9166667,24.0833333,"Pangeon,Greece"
-29.903184,-71.249411,"Elqui Valley,Chile"
-41.565373,173.5286352,"Wairau Valley,New Zealand"
45.2745018,13.8901858,"Istria,Croatia"
42.8652771,17.5505152,"Peljesac,Croatia"
41.6481602,45.6905554,"Kakheti,Georgia"
-34.5291043,-56.2873482,"Canelones,Uruguay"
52.3555177,-1.1743197,"England,England"
-34.3984467,-71.6215715,"Marchigue,Chile"
-33.7342304,18.9621091,"Paarl,South Africa"
-33.8259414,18.6531909,"Durbanville,South Africa"
47.516231,14.550072,"Weinland Österreich,Austria"
37.616667,22.383333,"Mantinia,Greece"
40.3694997,23.287085,"Chalkidiki,Greece"
33.854721,35.862285,"Lebanon,Lebanon"
38.5254047,-8.8941,"Setubal,Portugal"
49.6949242,6.7649431,"Mosel-Saar-Ruwer,Germany"
39.5500507,-105.7820674,"Colorado,US"
44.016521,21.005859,"Pocerina,Serbia"
53.7266683,-127.6476205,"British Columbia,Canada"
-33.6186082,-70.5906057,"Puente Alto,Chile"
-36.7772623,174.5588019,"Kumeu,New Zealand"
41.2873865,-7.7389859,"Trás-os-Montes,Portugal"
32.422877,35.3027226,"Shomron,Israel"
39.9019286,22.5478028,"Rapsani,Greece"
48.2081743,16.3738189,"Vienna,Austria"
-31.2532183,146.921099,"New South Wales,Australia"
-41.2706319,173.2839653,"Nelson,New Zealand"
-43.0785847,172.7489864,"Waipara Valley,New Zealand"
-34.0257608,18.4230789,"Constantia,South Africa"
34.0489281,-111.0937311,"Arizona,US"
-29.0974897,-51.4503228,"Pinto Bandeira,Brazil"
45.9005145,13.8743767,"Primorska,Slovenia"
47.411631,28.369885,"Moldova,Moldova"
-32.522779,-55.765835,"Uruguay,Uruguay"
33.7019176,-7.3960794,"Zenata,Morocco"
-30.559482,22.937506,"South Africa,South Africa"
42.4072107,-71.3824374,"Massachusetts,US"
40.4172871,-82.907123,"Ohio,US"
-14.07546,-75.7341811,"Ica,Peru"
31.3250324,-116.2477569,"San Vicente,Mexico"
19.9974533,73.7898023,"Nashik,India"
-33.8974833,19.1523292,"Franschhoek,South Africa"
-45.1526707,169.8926333,"South Island,New Zealand"
-34.7793791,-55.7596225,"Atlantida,Uruguay"
42.1491757,24.7385529,"Thracian Valley,Bulgaria"
46.2075,24.5449667,"Tarnave,Romania"
45.8455744,13.9625431,"Vipavska Dolina,Slovenia"
34.008889,36.145278,"Bekaa Valley,Lebanon"
-34.20311,19.00453,"Elgin,South Africa"
-36.7639335,-72.4491456,"Itata Valley,Chile"
39.399872,-8.224454,"Table wine,Portugal"
40.6224781,-73.7223561,"Samson,Israel"
32.7607074,-16.9594723,"Madeira,Portugal"
35.126413,33.429859,"Cyprus,Cyprus"
39.074208,21.824312,"Pageon,Greece"
39.399872,-8.224454,"Vinho Espumante de Qualidade,Portugal"
-33.6404794,19.0096562,"Wellington,South Africa"
46.3219325,18.3950715,"Danube River Plains,Bulgaria"
-38.662334,178.017649,"Gisborne,New Zealand"
39.3604212,-9.1582014,"Obidos,Portugal"
-40.950146,175.662255,"Wairarapa,New Zealand"
40.069099,45.038189,"Armenia,Armenia"
-34.6324213,-71.3592116,"Santa Cruz,Chile"
42.9584041,17.1342309,"Korčula,Croatia"
44.1611721,27.7560081,"Viile Timisului,Romania"
40.6331249,-89.3985283,"Illinois,US"
36.848315,28.2598229,"Aegean,Turkey"
54.436667,8.971944,"Simonsberg-Paarl,South Africa"
-34.5907059,-56.2566093,"Juanico,Uruguay"
43.413029,34.299316,"Black Sea Coastal,Bulgaria"
-27.2423392,-50.2188556,"Santa Catarina,Brazil"
-34.4897034,20.402376,"Overberg,South Africa"
38.6528663,22.998361,"Atalanti Valley,Greece"
45.9595588,23.5663758,"Sebes,Romania"
38.5243675,-8.8928628,"Moscatel de Setúbal,Portugal"
40.8176812,22.8527142,"Macedonia,Greece"
38.9022048,-9.0397427,"Ribatejo,Portugal"
51.165691,10.451526,"Germany,Germany"
38.569441,-8.9016937,"Palmela,Portugal"
33.0783652,35.4484935,"Galil,Israel"
45.7480785,13.8721443,"Kras,Slovenia"
45.1,15.2000001,"Croatia,Croatia"
-43.0548342,172.7612505,"Waipara,New Zealand"
-24.3559,30.6482544,"Olifants River,South Africa"
-34.9011127,-56.1645314,"Montevideo,Uruguay"
-21.8343864,-45.3990201,"Campanha,Brazil"
31.046051,34.851612,"Israel,Israel"
47.8650427,16.7775594,"Neusiedlersee,Austria"
47.162494,19.5033041,"Hungary,Hungary"
-34.7284166,-71.6458243,"Lolol Valley,Chile"
-35.9676285,-72.3222331,"Cauquenes Valley,Chile"
-25.7740895,28.2204987,"Groenekloof,South Africa"
39.0574004,-9.0063654,"Alenquer,Portugal"
45.999672,13.5307396,"Goriska Brda,Slovenia"
44.1735518,28.4105479,"Murfatlar,Romania"
41.271299,-7.50456,"Moscatel do Douro,Portugal"
45.5469616,-123.1386021,"Washington-Oregon,US"
-40.900557,174.885971,"New Zealand,New Zealand"
33.6340691,-112.2353196,"Serra Gaúcha,Brazil"
-34.3486042,-56.7075141,"San Jose,Uruguay"
-29.1778957,-51.5672795,"Vale dos Vinhedos,Brazil"
47.49497,16.50879,"Mittelburgenland,Austria"
-31.5531506,18.3474974,"Lutzville Valley,South Africa"
35.7595731,-79.0192997,"North Carolina,US"
-34.6111563,-71.2729489,"Apalta,Chile"
-38.1635613,-72.5204827,"Malleco,Chile"
31.791702,-7.09262,"Guerrouane,Morocco"
46.1904614,7.5449226,"Valais,Switzerland"
-31.8040841,-71.0022311,"Choapa Valley,Chile"
39.0362019,-95.7021444,"Georgia,Georgia"
39.9333635,32.8597419,"Ankara,Turkey"
37.7547857,26.9777701,"Samos,Greece"
50.1614667,7.7008637,"Mittelrhein,Germany"
47.18035,16.4251,"Eisenberg,Austria"
-34.9984205,-71.3445822,"Sagrada Familia,Chile"
47.516231,14.550072,"Austria,Austria"
43.3437748,17.8077578,"Mostar,Bosnia and Herzegovina"
41.8780025,-93.097702,"Iowa,US"
-33.2872221,19.1434108,"Tulbagh,South Africa"
-32.5891202,19.0118251,"Cederberg,South Africa"
-34.4116592,19.2065868,"Hemel en Aarde,South Africa"
-33.4006883,19.295048,"Ceres Plateau,South Africa"
-34.2254252,19.1969241,"Bot River,South Africa"
38.2466395,21.734574,"Patras,Greece"
38.0022977,22.5245093,"Korinthia,Greece"
39.074208,21.824312,"Greece,Greece"
-35.5364676,-71.4893705,"San Clemente,Chile"
45.630613,18.8133484,"Podunavlje,Croatia"
40.7845262,21.4131222,"Florina,Greece"
-33.7309374,-70.7423218,"Buin,Chile"
31.046051,34.851612,"Haut-Judeé,Israel"
48.379433,31.1655799,"Ukraine,Ukraine"
38.0157036,-8.3747296,"Terras do Sado,Portugal"
-33.8088442,-70.7644236,"Maipo Valley-Colchagua Valley,Chile"
39.109842,-94.58227,"Brazil,Brazil"
-33.6929187,19.3210622,"Breedekloof,South Africa"
-33.6131574,-71.4501843,"Leyda Valley-Maipo Valley,Chile"
44.5588028,-72.5778415,"Vermont,US"
46.818188,8.227512,"Switzerland,Switzerland"
-44.9873854,170.6015009,"Waitaki Valley,New Zealand"
47.9025348,20.3772284,"Eger,Hungary"
33.0155854,35.784354,"Golan Heights,Israel"
45.1570803,19.7093272,"Fruška Gora,Serbia"
-33.6666209,18.5811957,"Philadelphia,South Africa"
47.7922734,18.5974801,"Muzla,Slovakia"
47.8833333,19.95,"Mátra,Hungary"
-33.6793441,-70.5831069,"Pirque,Chile"
30.7140861,34.8757476,"Negev,Israel"
34.8845822,32.9449886,"Pitsilia Mountains,Cyprus"
-36.9844801,174.7809323,"East Coast,New Zealand"
38.2466395,21.734574,"Mavrodaphne of Patras,Greece"
38.0457568,23.8584737,"Attica,Greece"
-34.6636109,-56.2230875,"Progreso,Uruguay"
37.9489242,40.1954983,"Elazığ-Diyarbakir,Turkey"
-33.9510755,18.9050519,"Jonkershoek Valley,South Africa"
41.4351304,22.0028083,"Tikves,Macedonia"
46.0512004,11.1175392,"Vale Trentino,Brazil"
38.963745,35.243322,"Turkey,Turkey"
-36.8019237,175.1080146,"Waiheke Island,New Zealand"
-35.1164987,-71.2829759,"Molina,Chile"
-20.1228954,-40.3054099,"Serra do Sudeste,Brazil"
43.509683,16.435503,"Dalmatian Coast,Croatia"
-33.7725,19.67317,"Eilandia,South Africa"
45.943161,24.96676,"Dealurile Munteniei,Romania"
41.1295126,24.8877191,"Thraki,Greece"
-34.9859489,-71.2417746,"Curicó and Maipo Valleys,Chile"
46.151241,14.995463,"Štajerska,Slovenia"
45.1,15.2000001,"Middle and South Dalmatia,Croatia"
37.8393332,-84.2700179,"Kentucky,US"
42.9712396,20.3606701,"Župa,Serbia"
34.7720133,32.4297369,"Pafos,Cyprus"
36.6876016,23.056032,"Monemvasia,Greece"
46.3474326,18.7062293,"Szekszárd,Hungary"
38.674816,39.222515,"Elazığ,Turkey"
38.644378,34.833267,"Cappadocia,Turkey"
45.4258814,17.88337,"Kutjevo,Croatia"
39.074208,21.824312,"Ismarikos,Greece"
41.6032207,-73.087749,"Connecticut,US"
40.042709,23.9060624,"Sithonia,Greece"
-34.9779853,-71.2528803,"Curicó and Leyda Valleys,Chile"
39.074208,21.824312,"Agioritikos,Greece"
-33.3190376,-71.4076318,"Casablanca-Curicó Valley,Chile"
-32.6189447,18.9587118,"Piekenierskloof,South Africa"
-34.583333,19.75,"Elim,South Africa"
-34.3204182,20.5811363,"Malgas,South Africa"
38.3663664,23.0965064,"Beotia,Greece"
37.0179538,-7.930834,"Algarve,Portugal"
39.074208,21.824312,"Retsina,Greece"
40.6905178,21.6797432,"Amindeo,Greece"
-36.4983941,-72.7570024,"Coelemu,Chile"
-31.0855075,30.1871823,"Cape South Coast,South Africa"
47.6816619,16.5844795,"Sopron,Hungary"
42.733883,25.48583,"Bulgaria,Bulgaria"
45.1,15.2000001,"North Dalmatia,Croatia"
-29.0466808,21.8568586,"Northern Cape,South Africa"
38.8402416,-7.6289293,"Vinho da Mesa,Portugal"
43.1729478,16.4411136,"Hvar,Croatia"
38.1753675,20.5692179,"Cephalonia,Greece"
34.7071301,33.0226174,"Lemesos,Cyprus"
45.8939404,28.1890275,"Cahul,Moldova"
37.1548247,25.0687356,"Cyclades,Greece"
-33.7272263,19.4735066,"Breede River Valley,South Africa"
46.331734,8.8004529,"Ticino,Switzerland"
-33.9586148,18.7979659,"Vlootenburg,South Africa"
45.9975652,13.5270474,"Brda,Slovenia"
42.9241904,17.3445579,"Dingač,Croatia"
31.791702,-7.09262,"Morocco,Morocco"
38.1158729,21.9522491,"Achaia,Greece"
-33.9608446,18.800415,"Polkadraai Hills,South Africa"
41.5800945,-71.4774291,"Rhode Island,US"
40.6905178,21.6797432,"Amyndeon,Greece"
44.4257053,22.8680481,"Vânju Mare,Romania"
45.5322314,14.7041159,"Hrvatsko Primorje,Croatia"
38.6043928,22.7152125,"Central Greece,Greece"
45.8797991,15.528835,"Dolenjska,Slovenia"
48.1936512,16.3777416,"Österreichischer Perlwein,Austria"
-34.2883749,-70.815833,"Requinoa,Chile"
38.1753675,20.5692179,"Mavrodaphne de Cephalonie,Greece"
40.946869,22.4510542,"Goumenissa,Greece"
39.399872,-8.224454,"Portugal,Portugal"
37.1424653,21.9522491,"Messinia,Greece"
37.0299087,22.5245093,"Lakonia,Greece"
37.8833564,23.9333037,"Markopoulo,Greece"
39.399872,-8.224454,"Vinho Licoroso,Portugal"
-33.6011111,18.8125,"Paardeberg,South Africa"
32.0358922,-116.6029281,"San Antonio de las Minas Valley,Mexico"
40.0884128,22.3585552,"Krania Olympus,Greece"
38.0022977,22.5245093,"Corinthia,Greece"
45.2745018,13.8901858,"Slovenska Istra,Slovenia"
35.126413,33.429859,"Commandaria,Cyprus"
-41.0790031,175.6545577,"Gladstone,New Zealand"
31.8083099,35.1049759,"Jerusalem Hills,Israel"
40.2644928,24.2152731,"Mount Athos,Greece"
38.8066307,-9.4426867,"Colares,Portugal"
-34.0517493,18.9264524,"Helderberg,South Africa"
33.5731104,-7.5898434,"Casablanca & Leyda Valleys,Chile"
46.6758644,28.05899,"Dealurile Hușilor,Romania"
38.324972,26.76681,"Urla-Thrace,Turkey"
47.1537165,16.2688797,"Südburgenland,Austria"
-34.2500139,18.4157357,"Cape Peninsula,South Africa"
46.9787276,28.8156637,"Codru Region,Moldova"
38.6043928,22.7152125,"Sterea Ellada,Greece"
23.58589,58.4059227,"Muscat of Patras,Greece"
40.6060067,22.1430215,"Imathia,Greece"
40.3133521,-7.8007077,"Alenteo,Portugal"
56.130366,-106.346771,"Canada Other,Canada"
37.6721003,21.4379288,"Letrinon,Greece"
39.074208,21.824312,"Muscat of Kefallonian,Greece"
39.074208,21.824312,"Thessalikos,Greece"
19.8967662,-155.5827818,"Hawaii,US"
37.6814711,-95.4536984,"China,China"
39.9198413,25.141484,"Limnos,Greece"
39.0703387,-94.5710329,"Egypt,Egypt"
44.1611721,27.7560081,"Viile Timis,Romania"
-33.9224259,18.8188535,"Devon Valley,South Africa"
45.0809356,14.5925861,"Krk,Croatia"
37.5557825,22.3337769,"Arcadia,Greece"
-34.8311111,20.0130556,"Cape Agulhas,South Africa"
34.9137456,32.4184108,"Kathikas,Cyprus"
40.2545476,22.0742782,"Vin de Pays de Velvendo,Greece"
49.34645,7.9036831,"Landwein Rhein,Germany"
39.2645095,26.2777073,"Lesbos,Greece"
41.0999824,-7.5336771,"Távora-Varosa,Portugal"
46.9899874,6.9292732,"Neuchâtel,Switzerland"